'0000000000001C0C,0,0,0,x,5
'0000000000383000,0,0,1, ,5
'0000000038600000,0,0,2, ,5
'0000001C60000000,0,0,3, ,5
'0000073000000000,0,0,4, ,5
'0000EC0000000000,0,0,5,x,5
'000F800000000000,0,0,6, ,5
'0000000000003818,0,1,0, ,5
'0000000000706000,0,1,1, ,5
'0000000070C00000,0,1,2, ,5
'00000038C0000000,0,1,3, ,5
'00000E6000000000,0,1,4,x,5
'0001D80000000000,0,1,5, ,5
'0000000000007030,0,2,0, ,5
'0000000000E0C000,0,2,1, ,5
'00000000E1800000,0,2,2, ,5
'0000007180000000,0,2,3,x,5
'00001CC000000000,0,2,4, ,5
'000000000000E060,0,3,0, ,5
'0000000001C18000,0,3,1, ,5
'00000001C3000000,0,3,2,x,5
'000000E300000000,0,3,3, ,5
'000000000001C0C0,0,4,0, ,5
'0000000003830000,0,4,1,x,5
'0000000386000000,0,4,2, ,5
'0000000000038180,0,5,0,x,5
'0000000007060000,0,5,1, ,5
'0000000000070300,0,6,0, ,5
'0000000010180401,1,0,0, ,5
'0000000818080400,1,0,1, ,5
'0000020C08080000,1,0,2, ,5
'0000430408000000,1,0,3, ,5
'0004610400000000,1,0,4,x,5
'0026210000000000,1,0,5,x,5
'0000000020300802,1,1,0, ,5
'0000001030100800,1,1,1, ,5
'0000041810100000,1,1,2, ,5
'0000860810000000,1,1,3, ,5
'0008C20800000000,1,1,4, ,5
'0000000040601004,1,2,0, ,5
'0000002060201000,1,2,1, ,5
'0000083020200000,1,2,2, ,5
'00010C1020000000,1,2,3, ,5
'0000000080C02008,1,3,0, ,5
'00000040C0402000,1,3,1, ,5
'0000106040400000,1,3,2, ,5
'0000000101804010,1,4,0, ,5
'0000008180804000,1,4,1, ,5
'0000000203008020,1,5,0, ,5
'0000000000000C0E,2,0,0,x,5
'0000000000183800,2,0,1, ,5
'0000000018700000,2,0,2, ,5
'0000000C70000000,2,0,3, ,5
'0000033800000000,2,0,4, ,5
'00006E0000000000,2,0,5, ,5
'0007C00000000000,2,0,6,x,5
'000000000000181C,2,1,0, ,5
'0000000000307000,2,1,1, ,5
'0000000030E00000,2,1,2, ,5
'00000018E0000000,2,1,3, ,5
'0000067000000000,2,1,4, ,5
'0000DC0000000000,2,1,5,x,5
'0000000000003038,2,2,0, ,5
'000000000060E000,2,2,1, ,5
'0000000061C00000,2,2,2, ,5
'00000031C0000000,2,2,3, ,5
'00000CE000000000,2,2,4,x,5
'0000000000006070,2,3,0, ,5
'0000000000C1C000,2,3,1, ,5
'00000000C3800000,2,3,2, ,5
'0000006380000000,2,3,3,x,5
'000000000000C0E0,2,4,0, ,5
'0000000001838000,2,4,1, ,5
'0000000187000000,2,4,2,x,5
'00000000000181C0,2,5,0, ,5
'0000000003070000,2,5,1,x,5
'0000000000030380,2,6,0,x,5
'0000000010100C01,3,0,0, ,5
'0000000810180400,3,0,1, ,5
'0000020818080000,3,0,2, ,5
'0000420C08000000,3,0,3, ,5
'0004430400000000,3,0,4, ,5
'0024610000000000,3,0,5,x,5
'0000000020201802,3,1,0, ,5
'0000001020300800,3,1,1, ,5
'0000041030100000,3,1,2, ,5
'0000841810000000,3,1,3, ,5
'0008860800000000,3,1,4, ,5
'0000000040403004,3,2,0, ,5
'0000002040601000,3,2,1, ,5
'0000082060200000,3,2,2, ,5
'0001083020000000,3,2,3, ,5
'0000000080806008,3,3,0, ,5
'0000004080C02000,3,3,1, ,5
'00001040C0400000,3,3,2, ,5
'000000010100C010,3,4,0, ,5
'0000008101804000,3,4,1, ,5
'0000000202018020,3,5,0, ,5
'0000000000003007,4,0,0, ,5
'0000000000601C00,4,0,1, ,5
'0000000060380000,4,0,2, ,5
'0000003038000000,4,0,3, ,5
'00000C1C00000000,4,0,4, ,5
'0001870000000000,4,0,5, ,5
'000000000000600E,4,1,0, ,5
'0000000000C03800,4,1,1, ,5
'00000000C0700000,4,1,2, ,5
'0000006070000000,4,1,3, ,5
'0000183800000000,4,1,4, ,5
'000000000000C01C,4,2,0, ,5
'0000000001807000,4,2,1, ,5
'0000000180E00000,4,2,2, ,5
'000000C0E0000000,4,2,3, ,5
'0000000000018038,4,3,0, ,5
'000000000300E000,4,3,1, ,5
'0000000301C00000,4,3,2, ,5
'0000000000030070,4,4,0,x,5
'000000000601C000,4,4,1, ,5
'00000000000600E0,4,5,0,x,5
'0000000008180802,5,0,0,x,5
'0000000418100800,5,0,1, ,5
'0000010C10100000,5,0,2, ,5
'0000230810000000,5,0,3, ,5
'0002620800000000,5,0,4, ,5
'0016420000000000,5,0,5,x,5
'0074400000000000,5,0,6, ,5
'0000000010301004,5,1,0, ,5
'0000000830201000,5,1,1, ,5
'0000021820200000,5,1,2, ,5
'0000461020000000,5,1,3, ,5
'0004C41000000000,5,1,4,x,5
'002C840000000000,5,1,5, ,5
'0000000020602008,5,2,0, ,5
'0000001060402000,5,2,1, ,5
'0000043040400000,5,2,2, ,5
'00008C2040000000,5,2,3,x,5
'0009882000000000,5,2,4, ,5
'0000000040C04010,5,3,0, ,5
'00000020C0804000,5,3,1, ,5
'0000086080800000,5,3,2,x,5
'0001184080000000,5,3,3, ,5
'0000000081808020,5,4,0, ,5
'0000004181008000,5,4,1,x,5
'000010C101000000,5,4,2, ,5
'0000000103010040,5,5,0,x,5
'0000008302010000,5,5,1, ,5
'0000000206020080,5,6,0, ,5
'0000000000003803,6,0,0, ,5
'0000000000700C00,6,0,1, ,5
'0000000070180000,6,0,2, ,5
'0000003818000000,6,0,3, ,5
'00000E0C00000000,6,0,4, ,5
'0001C30000000000,6,0,5, ,5
'0000000000007006,6,1,0, ,5
'0000000000E01800,6,1,1, ,5
'00000000E0300000,6,1,2, ,5
'0000007030000000,6,1,3, ,5
'00001C1800000000,6,1,4, ,5
'000000000000E00C,6,2,0, ,5
