'0000000000080C06,0,0,0,x,6
'0000000008181800,0,0,1, ,6
'0000000418300000,0,0,2, ,6
'0000010C30000000,0,0,3, ,6
'0000231800000000,0,0,4, ,6
'0002660000000000,0,0,5, ,6
'0016C00000000000,0,0,6,x,6
'007C000000000000,0,0,7, ,6
'000000000010180C,0,1,0, ,6
'0000000010303000,0,1,1, ,6
'0000000830600000,0,1,2, ,6
'0000021860000000,0,1,3, ,6
'0000463000000000,0,1,4, ,6
'0004CC0000000000,0,1,5,x,6
'002D800000000000,0,1,6, ,6
'0000000000203018,0,2,0, ,6
'0000000020606000,0,2,1, ,6
'0000001060C00000,0,2,2, ,6
'00000430C0000000,0,2,3, ,6
'00008C6000000000,0,2,4,x,6
'0009980000000000,0,2,5, ,6
'0000000000406030,0,3,0, ,6
'0000000040C0C000,0,3,1, ,6
'00000020C1800000,0,3,2, ,6
'0000086180000000,0,3,3,x,6
'000118C000000000,0,3,4, ,6
'000000000080C060,0,4,0, ,6
'0000000081818000,0,4,1, ,6
'0000004183000000,0,4,2,x,6
'000010C300000000,0,4,3, ,6
'00000000010180C0,0,5,0, ,6
'0000000103030000,0,5,1,x,6
'0000008306000000,0,5,2, ,6
'0000000002030180,0,6,0,x,6
'0000000206060000,0,6,1, ,6
'0000000004060300,0,7,0, ,6
'0000000000201803,1,0,0, ,6
'0000000020300C00,1,0,1, ,6
'0000001030180000,1,0,2, ,6
'0000041818000000,1,0,3, ,6
'0000860C00000000,1,0,4,?,6
'0008C30000000000,1,0,5,x,6
'0000000000403006,1,1,0, ,6
'0000000040601800,1,1,1, ,6
'0000002060300000,1,1,2, ,6
'0000083030000000,1,1,3, ,6
'00010C1800000000,1,1,4, ,6
'000000000080600C,1,2,0, ,6
'0000000080C03000,1,2,1, ,6
'00000040C0600000,1,2,2, ,6
'0000106060000000,1,2,3, ,6
'000000000100C018,1,3,0, ,6
'0000000101806000,1,3,1, ,6
'0000008180C00000,1,3,2, ,6
'0000000002018030,1,4,0, ,6
'000000020300C000,1,4,1,?,6
'0000000004030060,1,5,0,x,6
'0000000000181804,2,0,0, ,6
'0000000018301000,2,0,1, ,6
'0000000C30200000,2,0,2, ,6
'0000031820000000,2,0,3, ,6
'0000661000000000,2,0,4, ,6
'0006C40000000000,2,0,5,x,6
'003C800000000000,2,0,6,x,6
'0000000000303008,2,1,0, ,6
'0000000030602000,2,1,1, ,6
'0000001860400000,2,1,2, ,6
'0000063040000000,2,1,3, ,6
'0000CC2000000000,2,1,4,x,6
'000D880000000000,2,1,5, ,6
'0000000000606010,2,2,0, ,6
'0000000060C04000,2,2,1, ,6
'00000030C0800000,2,2,2, ,6
'00000C6080000000,2,2,3,x,6
'0001984000000000,2,2,4, ,6
'0000000000C0C020,2,3,0, ,6
'00000000C1808000,2,3,1, ,6
'0000006181000000,2,3,2,x,6
'000018C100000000,2,3,3, ,6
'0000000001818040,2,4,0, ,6
'0000000183010000,2,4,1,x,6
'000000C302000000,2,4,2, ,6
'0000000003030080,2,5,0,x,6
'0000000306020000,2,5,1, ,6
'0000000006060100,2,6,0,x,6
'0000000000300C01,3,0,0, ,6
'0000000030180400,3,0,1, ,6
'0000001818080000,3,0,2, ,6
'0000060C08000000,3,0,3, ,6
'0000C30400000000,3,0,4, ,6
'000C610000000000,3,0,5,x,6
'0000000000601802,3,1,0, ,6
'0000000060300800,3,1,1, ,6
'0000003030100000,3,1,2, ,6
'00000C1810000000,3,1,3, ,6
'0001860800000000,3,1,4,?,6
'0000000000C03004,3,2,0, ,6
'00000000C0601000,3,2,1, ,6
'0000006060200000,3,2,2, ,6
'0000183020000000,3,2,3, ,6
'0000000001806008,3,3,0, ,6
'0000000180C02000,3,3,1, ,6
'000000C0C0400000,3,3,2, ,6
'000000000300C010,3,4,0, ,6
'0000000301804000,3,4,1,?,6
'0000000006018020,3,5,0,x,6
