'0000000000000403,0,0,0, ,0
'0000000000080C00,0,0,1, ,0
'0000000008180000,0,0,2, ,0
'0000000418000000,0,0,3, ,0
'0000010C00000000,0,0,4, ,0
'0000230000000000,0,0,5, ,0
'0002600000000000,0,0,6, ,0
'0016000000000000,0,0,7,x,0
'0070000000000000,0,0,8, ,0
'0000000000000806,0,1,0, ,0
'0000000000101800,0,1,1, ,0
'0000000010300000,0,1,2, ,0
'0000000830000000,0,1,3, ,0
'0000021800000000,0,1,4, ,0
'0000460000000000,0,1,5, ,0
'0004C00000000000,0,1,6,x,0
'002C000000000000,0,1,7, ,0
'000000000000100C,0,2,0, ,0
'0000000000203000,0,2,1, ,0
'0000000020600000,0,2,2, ,0
'0000001060000000,0,2,3, ,0
'0000043000000000,0,2,4, ,0
'00008C0000000000,0,2,5,x,0
'0009800000000000,0,2,6, ,0
'0000000000002018,0,3,0, ,0
'0000000000406000,0,3,1, ,0
'0000000040C00000,0,3,2, ,0
'00000020C0000000,0,3,3, ,0
'0000086000000000,0,3,4,x,0
'0001180000000000,0,3,5, ,0
'0000000000004030,0,4,0, ,0
'000000000080C000,0,4,1, ,0
'0000000081800000,0,4,2, ,0
'0000004180000000,0,4,3,x,0
'000010C000000000,0,4,4, ,0
'0000000000008060,0,5,0, ,0
'0000000001018000,0,5,1, ,0
'0000000103000000,0,5,2,x,0
'0000008300000000,0,5,3, ,0
'00000000000100C0,0,6,0, ,0
'0000000002030000,0,6,1,x,0
'0000000206000000,0,6,2, ,0
'0000000000020180,0,7,0,x,0
'0000000004060000,0,7,1, ,0
'0000000000040300,0,8,0, ,0
'0000000000000803,1,0,0, ,0
'0000000000100C00,1,0,1, ,0
'0000000010180000,1,0,2, ,0
'0000000818000000,1,0,3, ,0
'0000020C00000000,1,0,4, ,0
'0000430000000000,1,0,5, ,0
'0004600000000000,1,0,6,x,0
'0026000000000000,1,0,7,x,0
'0000000000001006,1,1,0, ,0
'0000000000201800,1,1,1, ,0
'0000000020300000,1,1,2, ,0
'0000001030000000,1,1,3, ,0
'0000041800000000,1,1,4, ,0
'0000860000000000,1,1,5, ,0
'0008C00000000000,1,1,6, ,0
'000000000000200C,1,2,0, ,0
'0000000000403000,1,2,1, ,0
'0000000040600000,1,2,2, ,0
'0000002060000000,1,2,3, ,0
'0000083000000000,1,2,4, ,0
'00010C0000000000,1,2,5, ,0
'0000000000004018,1,3,0, ,0
'0000000000806000,1,3,1, ,0
'0000000080C00000,1,3,2, ,0
'00000040C0000000,1,3,3, ,0
'0000106000000000,1,3,4, ,0
'0000000000008030,1,4,0, ,0
'000000000100C000,1,4,1, ,0
'0000000101800000,1,4,2, ,0
'0000008180000000,1,4,3, ,0
'0000000000010060,1,5,0, ,0
'0000000002018000,1,5,1, ,0
'0000000203000000,1,5,2, ,0
'00000000000200C0,1,6,0,x,0
'0000000004030000,1,6,1, ,0
'0000000000040180,1,7,0,x,0
'0000000000000C02,2,0,0,x,0
'0000000000180800,2,0,1, ,0
'0000000018100000,2,0,2, ,0
'0000000C10000000,2,0,3, ,0
'0000030800000000,2,0,4, ,0
'0000620000000000,2,0,5, ,0
'0006400000000000,2,0,6,x,0
'0034000000000000,2,0,7,x,0
'0000000000001804,2,1,0, ,0
'0000000000301000,2,1,1, ,0
'0000000030200000,2,1,2, ,0
'0000001820000000,2,1,3, ,0
'0000061000000000,2,1,4, ,0
'0000C40000000000,2,1,5, ,0
'000C800000000000,2,1,6, ,0
'0000000000003008,2,2,0, ,0
'0000000000602000,2,2,1, ,0
'0000000060400000,2,2,2, ,0
'0000003040000000,2,2,3, ,0
'00000C2000000000,2,2,4, ,0
'0001880000000000,2,2,5, ,0
'0000000000006010,2,3,0, ,0
'0000000000C04000,2,3,1, ,0
'00000000C0800000,2,3,2, ,0
'0000006080000000,2,3,3, ,0
'0000184000000000,2,3,4, ,0
'000000000000C020,2,4,0, ,0
'0000000001808000,2,4,1, ,0
'0000000181000000,2,4,2, ,0
'000000C100000000,2,4,3, ,0
'0000000000018040,2,5,0, ,0
'0000000003010000,2,5,1, ,0
'0000000302000000,2,5,2, ,0
'0000000000030080,2,6,0,x,0
'0000000006020000,2,6,1, ,0
'0000000000060100,2,7,0,x,0
'0000000000000C01,3,0,0, ,0
'0000000000180400,3,0,1, ,0
'0000000018080000,3,0,2, ,0
'0000000C08000000,3,0,3, ,0
'0000030400000000,3,0,4, ,0
'0000610000000000,3,0,5, ,0
'0006200000000000,3,0,6, ,0
'0032000000000000,3,0,7,x,0
'0000000000001802,3,1,0, ,0
'0000000000300800,3,1,1, ,0
'0000000030100000,3,1,2, ,0
'0000001810000000,3,1,3, ,0
'0000060800000000,3,1,4, ,0
'0000C20000000000,3,1,5, ,0
'000C400000000000,3,1,6, ,0
'0000000000003004,3,2,0, ,0
'0000000000601000,3,2,1, ,0
'0000000060200000,3,2,2, ,0
'0000003020000000,3,2,3, ,0
'00000C1000000000,3,2,4, ,0
'0001840000000000,3,2,5, ,0
'0000000000006008,3,3,0, ,0
'0000000000C02000,3,3,1, ,0
'00000000C0400000,3,3,2, ,0
'0000006040000000,3,3,3, ,0
'0000182000000000,3,3,4, ,0
'000000000000C010,3,4,0, ,0
'0000000001804000,3,4,1, ,0
'0000000180800000,3,4,2, ,0
'000000C080000000,3,4,3, ,0
'0000000000018020,3,5,0, ,0
'0000000003008000,3,5,1, ,0
'0000000301000000,3,5,2, ,0
'0000000000030040,3,6,0,x,0
'0000000006010000,3,6,1, ,0
'0000000000060080,3,7,0,x,0
