'0000000000080403,0,0,0, ,8
'0000000008080C00,0,0,1, ,8
'0000000408180000,0,0,2, ,8
'0000010418000000,0,0,3, ,8
'0000210C00000000,0,0,4, ,8
'0002230000000000,0,0,5, ,8
'0012600000000000,0,0,6,x,8
'0056000000000000,0,0,7,x,8
'0000000000100806,0,1,0, ,8
'0000000010101800,0,1,1, ,8
'0000000810300000,0,1,2, ,8
'0000020830000000,0,1,3, ,8
'0000421800000000,0,1,4, ,8
'0004460000000000,0,1,5, ,8
'0024C00000000000,0,1,6,x,8
'000000000020100C,0,2,0, ,8
'0000000020203000,0,2,1, ,8
'0000001020600000,0,2,2, ,8
'0000041060000000,0,2,3, ,8
'0000843000000000,0,2,4, ,8
'00088C0000000000,0,2,5,x,8
'0000000000402018,0,3,0, ,8
'0000000040406000,0,3,1, ,8
'0000002040C00000,0,3,2, ,8
'00000820C0000000,0,3,3, ,8
'0001086000000000,0,3,4,x,8
'0000000000804030,0,4,0, ,8
'000000008080C000,0,4,1, ,8
'0000004081800000,0,4,2, ,8
'0000104180000000,0,4,3,x,8
'0000000001008060,0,5,0, ,8
'0000000101018000,0,5,1, ,8
'0000008103000000,0,5,2,x,8
'00000000020100C0,0,6,0, ,8
'0000000202030000,0,6,1,x,8
'0000000004020180,0,7,0,x,8
'0000000000001007,1,0,0, ,8
'0000000000201C00,1,0,1, ,8
'0000000020380000,1,0,2, ,8
'0000001038000000,1,0,3, ,8
'0000041C00000000,1,0,4, ,8
'0000870000000000,1,0,5, ,8
'0008E00000000000,1,0,6, ,8
'000000000000200E,1,1,0, ,8
'0000000000403800,1,1,1, ,8
'0000000040700000,1,1,2, ,8
'0000002070000000,1,1,3, ,8
'0000083800000000,1,1,4, ,8
'00010E0000000000,1,1,5, ,8
'000000000000401C,1,2,0, ,8
'0000000000807000,1,2,1, ,8
'0000000080E00000,1,2,2, ,8
'00000040E0000000,1,2,3, ,8
'0000107000000000,1,2,4, ,8
'0000000000008038,1,3,0, ,8
'000000000100E000,1,3,1, ,8
'0000000101C00000,1,3,2, ,8
'00000081C0000000,1,3,3, ,8
'0000000000010070,1,4,0, ,8
'000000000201C000,1,4,1, ,8
'0000000203800000,1,4,2, ,8
'00000000000200E0,1,5,0, ,8
'0000000004038000,1,5,1, ,8
'00000000000401C0,1,6,0,x,8
'0000000000180802,2,0,0,x,8
'0000000018100800,2,0,1, ,8
'0000000C10100000,2,0,2, ,8
'0000030810000000,2,0,3, ,8
'0000620800000000,2,0,4, ,8
'0006420000000000,2,0,5, ,8
'0034400000000000,2,0,6,x,8
'0000000000301004,2,1,0, ,8
'0000000030201000,2,1,1, ,8
'0000001820200000,2,1,2, ,8
'0000061020000000,2,1,3, ,8
'0000C41000000000,2,1,4, ,8
'000C840000000000,2,1,5, ,8
'0000000000602008,2,2,0, ,8
'0000000060402000,2,2,1, ,8
'0000003040400000,2,2,2, ,8
'00000C2040000000,2,2,3, ,8
'0001882000000000,2,2,4, ,8
'0000000000C04010,2,3,0, ,8
'00000000C0804000,2,3,1, ,8
'0000006080800000,2,3,2, ,8
'0000184080000000,2,3,3, ,8
'0000000001808020,2,4,0, ,8
'0000000181008000,2,4,1, ,8
'000000C101000000,2,4,2, ,8
'0000000003010040,2,5,0,x,8
'0000000302010000,2,5,1, ,8
'0000000006020080,2,6,0, ,8
'0000000000001C01,3,0,0, ,8
'0000000000380400,3,0,1, ,8
'0000000038080000,3,0,2, ,8
'0000001C08000000,3,0,3, ,8
'0000070400000000,3,0,4, ,8
'0000E10000000000,3,0,5,x,8
'000E200000000000,3,0,6, ,8
'0000000000003802,3,1,0, ,8
'0000000000700800,3,1,1, ,8
'0000000070100000,3,1,2, ,8
'0000003810000000,3,1,3, ,8
'00000E0800000000,3,1,4, ,8
'0001C20000000000,3,1,5, ,8
'0000000000007004,3,2,0, ,8
'0000000000E01000,3,2,1, ,8
'00000000E0200000,3,2,2, ,8
'0000007020000000,3,2,3, ,8
'00001C1000000000,3,2,4, ,8
'000000000000E008,3,3,0, ,8
'0000000001C02000,3,3,1, ,8
'00000001C0400000,3,3,2, ,8
'000000E040000000,3,3,3, ,8
'000000000001C010,3,4,0, ,8
'0000000003804000,3,4,1, ,8
'0000000380800000,3,4,2, ,8
'0000000000038020,3,5,0, ,8
'0000000007008000,3,5,1, ,8
'0000000000070040,3,6,0,x,8
'0000000000100803,4,0,0, ,8
'0000000010100C00,4,0,1, ,8
'0000000810180000,4,0,2, ,8
'0000020818000000,4,0,3, ,8
'0000420C00000000,4,0,4, ,8
'0004430000000000,4,0,5, ,8
'0024600000000000,4,0,6,x,8
'0000000000201006,4,1,0, ,8
'0000000020201800,4,1,1, ,8
'0000001020300000,4,1,2, ,8
'0000041030000000,4,1,3, ,8
'0000841800000000,4,1,4, ,8
'0008860000000000,4,1,5, ,8
'000000000040200C,4,2,0, ,8
'0000000040403000,4,2,1, ,8
'0000002040600000,4,2,2, ,8
'0000082060000000,4,2,3, ,8
'0001083000000000,4,2,4, ,8
'0000000000804018,4,3,0, ,8
'0000000080806000,4,3,1, ,8
'0000004080C00000,4,3,2, ,8
'00001040C0000000,4,3,3, ,8
'0000000001008030,4,4,0, ,8
'000000010100C000,4,4,1, ,8
'0000008101800000,4,4,2, ,8
'0000000002010060,4,5,0,x,8
'0000000202018000,4,5,1, ,8
'00000000040200C0,4,6,0, ,8
'0000000000001C04,5,0,0,x,8
'0000000000381000,5,0,1, ,8
'0000000038200000,5,0,2, ,8
'0000001C20000000,5,0,3, ,8
'0000071000000000,5,0,4, ,8
'0000E40000000000,5,0,5,x,8
'000E800000000000,5,0,6, ,8
'0000000000003808,5,1,0, ,8
'0000000000702000,5,1,1, ,8
'0000000070400000,5,1,2, ,8
'0000003840000000,5,1,3, ,8
'00000E2000000000,5,1,4, ,8
'0001C80000000000,5,1,5, ,8
