"00000000000200C0",0,1,6,0,"x","0006430000000000",1,2,0,5,"x","000000010100C020",2,7,4,0,"?","0000000000060180",3,0,7,0,"x","000108E000000000",4,0,3,4,"x","0024610000000000",5,3,0,5,"x","0000860C00000000",6,1,0,4,"?","00000041C0800000",7,0,3,2,"x","0000000000020380",8,7,7,0,"x","00000000000301C0",9,6,6,0,"x","0012210000000000",10,1,0,5,"x","00000000000401E0",11,0,5,0,"x"
"0000000000020180",0,0,7,0,"x","0000000C10180000",1,2,0,2,"x","0000008101808000",2,7,4,1,"?","0036000000000000",3,0,0,7,"x","0000000003810040",4,2,4,0,"x","0000000000030380",5,2,6,0,"x","000000020300C000",6,1,4,1,"?","0000087040000000",7,0,2,3,"x","0000E10000000000",8,3,0,5,"x","0000000000180C02",9,1,0,0,"x","0000000000078000",10,0,5,1,"x","000000000003C010",11,2,4,0,"x"
"0000000002030000",0,0,6,1,"x","0000000018100C00",1,2,0,1,"x","0000000203010040",2,1,5,0,"x","0000000000000C03",3,0,0,0,,"0000104380000000",4,0,4,3,"x","0000000003070000",5,2,5,1,"x","0001860800000000",6,3,1,4,"?","00008E1000000000",7,0,1,4,"x","0000000003010040",8,2,5,0,"x","00000000000601C0",9,0,6,0,"x","0000000202010040",10,1,6,0,"x","0012230000000000",11,3,0,5,"x"
"0026000000000000",0,1,0,7,"x","0000620C00000000",1,2,0,4,"x","0000000000003C04",2,4,0,0,"x","00000060C0000000",3,0,3,3,,"0025C00000000000",4,0,1,6,"x","0007C00000000000",5,2,0,6,"x","0000000301804000",6,3,4,1,"?","0000000004070080",7,0,6,0,"x","0034400000000000",8,2,0,6,"x","0000CE0000000000",9,6,1,5,"x","0001E00000000000",10,0,0,6,"x","0000000000003C08",11,4,0,0,"x"
"0004600000000000",0,1,0,6,"x","0000030818000000",1,2,0,3,"x","0001E40000000000",2,4,0,5,"x","00000000C0C00000",3,0,3,2,,"0000E10400000000",4,3,0,4,"x","0016420000000000",5,5,0,5,"x","0006C40000000000",6,2,0,5,"x","0000000002038040",7,0,5,0,"x","0000000002010060",8,4,5,0,"x","00008C3000000000",9,3,2,4,"x","0024420000000000",10,1,1,5,"x","0034420000000000",11,1,0,5,"x"
"0000086000000000",0,0,3,4,"x","000AE00000000000",1,1,0,6,"x","0000008103008000",2,3,5,1,"x","000000000000C030",3,0,4,0,,"00089C0000000000",4,0,2,5,"x","0000000008180802",5,5,0,0,"x","0008C30000000000",6,1,0,5,"x","0000000103808000",7,0,4,1,"x","0024600000000000",8,4,0,6,"x","00000000000700C0",9,2,6,0,"x","0000001020201000",10,1,2,1,,"0000000302010040",11,1,5,0,"x"
"00008C0000000000",0,0,2,5,"x","00000000060100C0",1,0,6,0,"x","0000000202030040",2,3,6,0,"x","0000186000000000",3,0,3,4,,"0000000004020380",4,0,7,0,"x","00000000000600E0",5,4,5,0,"x","0000000004030060",6,1,5,0,"x","002E400000000000",7,0,0,6,"x","0000000000070040",8,3,6,0,"x","0026600000000000",9,7,0,6,"x","0000420810000000",10,1,1,3,,"0001E10000000000",11,2,0,5,"x"
"0000000103000000",0,0,5,2,"x","0000000000180803",1,2,0,0,"x","0016210000000000",2,5,0,5,"x","00018C0000000000",3,0,2,5,,"0000E41000000000",4,2,0,4,"x","0000000000030070",5,4,4,0,"x","0000086180000000",6,0,3,3,"x","0000000000101C02",7,0,0,0,"x","0000000202030000",8,0,6,1,"x","0000E30000000000",9,2,0,5,"x","0000020810100000",10,1,1,2,,"00000000000081E0",11,6,5,0,"x"
"0000004180000000",0,0,4,3,"x","00000000000501C0",1,1,6,0,"x","0004C20800000000",2,5,1,4,"x","00000C3000000000",3,0,2,4,,"0000000002010070",4,1,4,0,"x","0000000000000C0E",5,2,0,0,"x","0000004183000000",6,0,4,2,"x","0004E20000000000",7,0,0,5,"x","0000008103000000",8,0,5,2,"x","00000860C0000000",9,3,3,3,"x","0000000810100800",10,1,1,1,,"0004420C00000000",11,7,0,4,"x"
"0000000000060080",0,3,7,0,"x","0000000000070140",1,3,6,0,"x","000000000003C040",2,4,4,0,"x","0000000000C06000",3,0,3,1,,"0000008107000000",4,0,5,2,"x","0026210000000000",5,1,0,5,"x","0000000103030000",6,0,5,1,"x","0000001070200000",7,0,1,2,,"0000104180000000",8,0,4,3,"x","0004630000000000",9,7,0,5,"x","0000000020201004",10,1,2,0,,"0000000202010060",11,7,5,0,"x"
